ISSN	TÌtulo	Estrato
2595-1521	THE ACADEMIC SOCIETY JOURNAL (TASJ)	C
0002-953X	THE AMERICAN JOURNAL OF PSYCHIATRY	A1
1932-8494	THE ANATOMICAL RECORD (HOBOKEN ONLINE)	A4
0004-6256	THE ASTRONOMICAL JOURNAL (NEW YORK, N.Y.)	A1
0004-637X	THE ASTROPHYSICAL JOURNAL	A1
1538-4357	THE ASTROPHYSICAL JOURNAL (ONLINE)	A1
1434-6028	THE EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER PHYSICS (PRINT)	A4
1434-6060	THE EUROPEAN PHYSICAL JOURNAL. D, ATOMIC, MOLECULAR AND OPTICAL PHYSICS (PRINT)	A4
1292-8941	THE EUROPEAN PHYSICAL JOURNAL. E, SOFT MATTER (PRINT)	A4
0892-6638	THE FASEB JOURNAL	A1
2412-2688	THE FIEP BULLETIN	B3
0391-3988	THE INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS (TESTO STAMPATO)	B1
1357-2725	THE INTERNATIONAL JOURNAL OF BIOCHEMISTRY	A2
1099-1751	THE INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT (ONLINE)	A4
1094-3420	THE INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS	A3
0975-5934	THE INTERNATIONAL JOURNAL OF MULTIMEDIA & ITS APPLICATIONS	C
0278-3649	THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH	A1
2154-8595	THE INTERNATIONAL JOURNAL OF THE CONSTRUCTED ENVIRONMENT	B3
2008-3076	THE ISC INTERNATIONAL JOURNAL OF INFORMATION SECURITY (ISECURE)	C
0021-8464	THE JOURNAL OF ADHESION (PRINT)	A2
1076-9757	THE JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH (PRINT)	A2
0021-9606	THE JOURNAL OF CHEMICAL PHYSICS	A2
1524-6175	THE JOURNAL OF CLINICAL HYPERTENSION (GREENWICH, CONN.)	A3
1049-2275	THE JOURNAL OF CRANIOFACIAL SURGERY (PRINT)	B1
2051-3305	THE JOURNAL OF ENGINEERING	B2
2527-1075	THE JOURNAL OF ENGINEERING AND EXACT SCIENCES	B2
1126-6708	THE JOURNAL OF HIGH ENERGY PHYSICS	A1
1029-8479	THE JOURNAL OF HIGH ENERGY PHYSICS (ONLINE)	A1
0270-6474	THE JOURNAL OF NEUROSCIENCE	A2
1279-7707	THE JOURNAL OF NUTRITION, HEALTH & AGING	A2
2475-9066	THE JOURNAL OF OPEN SOURCE SOFTWARE	B1
1536-5379	THE JOURNAL OF OPTICAL NETWORKING	A1
1089-5639	THE JOURNAL OF PHYSICAL CHEMISTRY. A	A3
0022-3913	THE JOURNAL OF PROSTHETIC DENTISTRY (PRINT)	A1
1827-1928	THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS	A4
1064-8011	THE JOURNAL OF STRENGTH AND CONDITIONING RESEARCH	A2
1573-0484	THE JOURNAL OF SUPERCOMPUTING (DORDRECHT. ONLINE)	A2
0164-1212	THE JOURNAL OF SYSTEMS AND SOFTWARE	A1
0001-4966	THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	A2
1678-9199	THE JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES (ONLINE)	A2
1079-5006	THE JOURNALS OF GERONTOLOGY. SERIES A, BIOLOGICAL SCIENCES AND MEDICAL SCIENCES	A1
1083-7159	THE ONCOLOGIST (DAYTON, OHIO)	A2
1875-399X	THE OPEN SPORTS SCIENCES JOURNAL	B1
0891-3668	THE PEDIATRIC INFECTIOUS DISEASE JOURNAL	A2
1537-744X	THE SCIENTIFIC WORLD JOURNAL	A3
1562-2975	THE WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY	A2
0177-798X	THEORETICAL AND APPLIED CLIMATOLOGY	A3
2594-3863	THEORETICAL AND APPLIED ENGINEERING	B4
0167-8442	THEORETICAL AND APPLIED FRACTURE MECHANICS (PRINT)	A1
1432-881X	THEORETICAL CHEMISTRY ACCOUNTS (PRINT)	A4
0304-3975	THEORETICAL COMPUTER SCIENCE	A2
2451-9049	THERMAL SCIENCE AND ENGINEERING PROGRESS	A2
0040-6090	THIN SOLID FILMS	A2
1050-7256	THYROID (NEW YORK, N.Y.)	A1
0040-8166	TISSUE & CELL	A4
1022-5528	TOPICS IN CATALYSIS	A2
1478-3363	TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE	A1
0041-008X	TOXICOLOGY AND APPLIED PHARMACOLOGY	A2
0887-2333	TOXICOLOGY IN VITRO	A3
0041-0101	TOXICON (OXFORD)	A4
0371-9553	TRANSACTIONS - INSTITUTION OF MINING AND METALLURGY. SECTION C. MINERAL PROCESSING & EXTRACTIVE METALLURGY	A4
1477-0369	TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL (ONLINE)	A4
2161-3915	TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES (ONLINE)	A3
2450-5730	TRANSACTIONS ON ENVIRONMENT AND ELECTRICAL ENGINEERING	B1
1750-6166	TRANSFORMING GOVERNMENT	A1
0958-7578	TRANSFUSION MEDICINE (PRINT)	A4
2318-0889	TRANSINFORMAÇÃO	A1
2158-3188	TRANSLATIONAL PSYCHIATRY	A1
0144-1647	TRANSPORT REVIEWS	A1
0049-4488	TRANSPORTATION (AMSTERDAM)	A1
0968-090X	TRANSPORTATION RESEARCH. PART C, EMERGING TECHNOLOGIES	A1
1361-9209	TRANSPORTATION RESEARCH. PART D, TRANSPORT AND ENVIRONMENT	A1
2413-9203	TRANSPORTATION SYSTEMS AND TECHNOLOGY	B4
2237-1346	TRANSPORTES (RIO DE JANEIRO)	A4
0924-2244	TRENDS IN FOOD SCIENCE & TECHNOLOGY (REGULAR ED.)	A1
1745-6215	TRIALS (LONDON)	B1
1751-5831	TRIBOLOGY - MATERIALS, SURFACES & INTERFACES	B1
2217-7965	TRIBOLOGY IN INDUSTRY	A4
0301-679X	TRIBOLOGY INTERNATIONAL	A1
1940-0829	TROPICAL CONSERVATION SCIENCE	A4
1007-0214	TSINGHUA SCIENCE AND TECHNOLOGY	A3
1472-9792	TUBERCULOSIS (EDINBURGH)	A4
1300-0632	TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES	B1
0304-3991	ULTRAMICROSCOPY (AMSTERDAM)	A2
0161-7346	ULTRASONIC IMAGING (PRINT)	A3
0041-624X	ULTRASONICS (GUILDFORD)	A1
1350-4177	ULTRASONICS SONOCHEMISTRY	A1
2288-5943	ULTRASONOGRAPHY (ONLINE)	A2
0301-5629	ULTRASOUND IN MEDICINE & BIOLOGY	A2
2178-2571	UNINGÁ REVIEW	B3
2317-1316	UNISANTA SCIENCE AND TECHNOLOGY	C
1615-5297	UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (INTERNET)	A3
1615-5289	UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (PRINT)	A3
2218-1997	UNIVERSE	B1
2183-6493	U.PORTO JOURNAL OF ENGINEERING	B4
1573-062X	URBAN WATER JOURNAL	A2
2175-3369	URBE. REVISTA BRASILEIRA DE GEST√O URBANA	A1
0957-1787	UTILITIES POLICY	A1
2076-393X	VACCINES	A3
0042-207X	VACUUM (OXFORD)	A3
1178-2048	VASCULAR HEALTH AND RISK MANAGEMENT (ONLINE)	A2
2624-8921	VEHICLES	C
2214-2096	VEHICULAR COMMUNICATIONS	A1
1467-2995	VETERINARY ANAESTHESIA AND ANALGESIA (ONLINE)	A2
1467-2987	VETERINARY ANAESTHESIA AND ANALGESIA (PRINT)	A2
0959-4493	VETERINARY DERMATOLOGY (PRINT)	A2
0924-2031	VIBRATIONAL SPECTROSCOPY (PRINT)	A4
0866-7136	VIETNAM JOURNAL OF MECHANICS	B3
1806-2490	VÍNCULO (SÃO PAULO. IMPRESSO)	B2
0945-6317	VIRCHOWS ARCHIV	A2
1877-2641	WASTE AND BIOMASS VALORIZATION	A2
0956-053X	WASTE MANAGEMENT (ELMSFORD)	A1
2073-4441	WATER	A3
0974-4711	WATER AND ENERGY INTERNATIONAL	B4
1606-9749	WATER SCIENCE AND TECHNOLOGY: WATER SUPPLY (PRINT)	B1
0043-1648	WEAR (LAUSANNE)	A2
0043-2288	WELDING IN THE WORLD	A3
0950-7116	WELDING INTERNATIONAL	B2
1942-4787	WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY	A1
1530-8677	WIRELESS COMMUNICATIONS AND MOBILE COMPUTING	A3
1530-8669	WIRELESS COMMUNICATIONS AND MOBILE COMPUTING (PRINT)	A3
1022-0038	WIRELESS NETWORKS	A2
1572-8196	WIRELESS NETWORKS (ONLINE)	A2
1572-834X	WIRELESS PERSONAL COMMUNICATIONS	A4
0929-6212	WIRELESS PERSONAL COMMUNICATIONS	A4
1743-3541	WIT TRANSACTIONS ON ECOLOGY AND THE ENVIRONMENT (ONLINE)	B3
0305-750X	WORLD DEVELOPMENT	A1
2161-4962	WORLD JOURNAL OF NANO SCIENCE AND ENGINEERING (ONLINE)	B4
1309-0348	WORLD JOURNAL ON EDUCATIONAL TECHNOLOGY	B4
1878-8750	WORLD NEUROSURGERY	A3
1741-2234	WORLD REVIEW OF SCIENCE, TECHNOLOGY AND SUSTAINABLE DEVELOPMENT	A4
1067-1927	WOUND REPAIR AND REGENERATION	A1
1109-2742	WSEAS TRANSACTIONS ON COMMUNICATIONS	C
1790-0832	WSEAS TRANSACTIONS ON INFORMATION SCIENCE AND APPLICATIONS	C
2224-3488	WSEAS TRANSACTIONS ON SIGNAL PROCESSING	C
0354-0243	YUGOSLAV JOURNAL OF OPERATIONS RESEARCH	B3
2053-1583	2D MATERIALS	A1
1619-4500	4OR (BERLIN)	A3
