Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
3712;21376;"Vaccine";journal;"0264410X, 18732518";"Elsevier Ltd";No;No;1,186;Q1;230;1198;2870;49708;9838;2750;3,38;41,49;52,30;24;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2026";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Molecular Medicine (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Veterinary"
3713;21101055712;"Case Studies in Chemical and Environmental Engineering";journal;"26660164";"Elsevier Ltd";Yes;No;1,185;Q1;59;271;854;16459;6888;852;7,83;60,73;36,31;0;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2026";"Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Environmental Chemistry (Q2)";"Chemical Engineering; Engineering; Environmental Science"
3714;13444;"Journal of the Meteorological Society of Japan";journal;"21869057, 00261165";"Springer";Yes;No;1,185;Q2;99;37;118;2127;346;102;3,42;57,49;17,99;1;Japan;Asiatic Region;"Springer";"1905-1907, 1910-1918, 1920-1922, 1966-1967, 1974, 1976-1978, 1980-1983, 1986-2026";"Atmospheric Science (Q2)";"Earth and Planetary Sciences"
3715;28253;"Best Practice and Research: Clinical Gastroenterology";journal;"15321916, 15216918";"Bailliere Tindall Ltd";No;No;1,184;Q1;117;77;143;5684;664;132;4,65;73,82;43,80;0;United Kingdom;Western Europe;"Bailliere Tindall Ltd";"1999-2026";"Gastroenterology (Q1)";"Medicine"
3716;21101215114;"Discover Artificial Intelligence";journal;"27310809";"Springer Nature";Yes;No;1,184;Q1;27;421;183;20687;2089;180;11,29;49,14;35,25;2;Switzerland;Western Europe;"Springer Nature";"2021-2026";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1)";"Computer Science"
3717;19400158481;"Journal of Web Librarianship";journal;"19322909, 19322917";"Routledge";No;No;1,184;Q1;24;10;26;509;119;25;4,65;50,90;31,58;0;United States;Northern America;"Routledge";"2007-2026";"Computer Science Applications (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
3718;145516;"Language, Culture and Curriculum";journal;"07908318";"Taylor and Francis Ltd.";No;No;1,184;Q1;53;37;89;2008;460;87;4,75;54,27;55,38;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2026";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
3719;21100788744;"OpenNano";journal;"23529520";"Elsevier Inc.";Yes;No;1,184;Q1;38;42;175;3456;1793;174;8,84;82,29;50,30;0;United States;Northern America;"Elsevier Inc.";"2016-2019, 2021-2026";"Biotechnology (Q1); Internal Medicine (Q1); Pharmaceutical Science (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
3720;29603;"Clinical Orthopaedics and Related Research";journal;"15281132, 0009921X";"";No;No;1,183;Q1;254;489;1250;8683;2401;620;1,87;17,76;26,06;0;United States;Northern America;"";"1963-2026";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1); Sports Science (Q2)";"Health Professions; Medicine"
3721;21101005180;"Global Media and China";journal;"20594372";"SAGE Publications Ltd";Yes;Yes;1,183;Q1;25;39;88;2195;379;85;3,14;56,28;56,36;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2016-2026";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
3722;13332;"Solar Energy Materials and Solar Cells";journal;"09270248";"Elsevier B.V.";No;No;1,183;Q1;235;550;1441;28482;9847;1436;6,69;51,79;31,31;0;Netherlands;Western Europe;"Elsevier B.V.";"1970, 1992-2026";"Electronic, Optical and Magnetic Materials (Q1); Surfaces, Coatings and Films (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Materials Science"
3723;19400158595;"World Trade Review";journal;"14747456, 14753138";"Cambridge University Press";No;No;1,183;Q1;42;52;111;4421;301;106;2,66;85,02;29,17;0;United Kingdom;Western Europe;"Cambridge University Press";"2002-2026";"Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
3724;25666;"Common Market Law Review";journal;"01650750, 18758320";"Kluwer Law International";No;No;1,182;Q1;74;50;211;6096;481;184;1,98;121,92;44,23;1;Netherlands;Western Europe;"Kluwer Law International";"1996-2025";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
3725;21101045704;"Composites Part C: Open Access";journal;"26666820";"Elsevier B.V.";Yes;No;1,182;Q1;46;134;313;8298;2759;311;7,71;61,93;16,24;0;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Ceramics and Composites (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Engineering; Materials Science"
3726;20052;"Medical Care Research and Review";journal;"15526801, 10775587";"SAGE Publications Inc.";No;No;1,182;Q1;101;46;166;2279;519;166;3,28;49,54;65,48;6;United States;Northern America;"SAGE Publications Inc.";"1944-1954, 1963-1971, 1974-1975, 1978-1990, 1993-2026";"Health Policy (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
3727;13069;"Psycho-Oncology";journal;"10579249, 10991611";"John Wiley and Sons Ltd";No;No;1,182;Q1;172;298;608;12758;2648;577;4,02;42,81;65,86;2;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2026";"Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1); Oncology (Q2)";"Medicine; Psychology"
3728;21101302104;"Blood Neoplasia";journal;"29503280";"Elsevier B.V.";Yes;No;1,181;Q1;6;121;44;4289;104;44;2,36;35,45;41,45;0;Netherlands;Western Europe;"Elsevier B.V.";"2024-2026";"Hematology (Q1); Oncology (Q2)";"Medicine"
3729;5700161712;"City and Community";journal;"15356841, 15406040";"SAGE Publications Inc.";No;No;1,181;Q1;55;12;50;1023;190;48;2,50;85,25;55,56;0;United Kingdom;Western Europe;"SAGE Publications Inc.";"2002-2026";"Urban Studies (Q1)";"Social Sciences"
3730;21100891048;"Epigenetics Insights";journal;"25168657";"SAGE Publications Ltd";Yes;No;1,181;Q1;17;0;20;0;100;18;5,75;0,00;0,00;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2023";"Biochemistry (Q1); Genetics (Q2)";"Biochemistry, Genetics and Molecular Biology"
3731;17481;"FEBS Letters";journal;"00145793, 18733468";"John Wiley and Sons Inc";No;No;1,181;Q1;295;296;703;21585;2345;680;3,15;72,92;42,44;1;United States;Northern America;"John Wiley and Sons Inc";"1968-2026";"Biochemistry (Q1); Biophysics (Q1); Cell Biology (Q2); Genetics (Q2); Molecular Biology (Q2); Structural Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
3732;26350;"Journal of European Social Policy";journal;"14617269, 09589287";"SAGE Publications Ltd";No;No;1,181;Q1;96;53;113;2808;544;113;3,68;52,98;48,36;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"1991-2026";"Management, Monitoring, Policy and Law (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
3733;4700152279;"Journal of Marketing for Higher Education";journal;"15407144, 08841241";"Routledge";No;No;1,181;Q1;51;41;109;3221;626;109;5,58;78,56;39,36;0;United States;Northern America;"Routledge";"1988-1991, 1993-2026";"Education (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
3734;28010;"Molecular Human Reproduction";journal;"14602407, 13609947";"Oxford University Press";No;No;1,181;Q1;145;57;136;4036;509;125;3,47;70,81;50,59;0;United Kingdom;Western Europe;"Oxford University Press";"1995-2026";"Embryology (Q1); Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1); Cell Biology (Q2); Developmental Biology (Q2); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3735;14395;"New Carbon Materials";journal;"20971605, 18725805";"Science Press";No;No;1,181;Q1;64;66;232;5783;1707;232;7,30;87,62;32,65;0;China;Asiatic Region;"Science Press";"2004-2025";"Materials Science (miscellaneous) (Q1)";"Materials Science"
3736;12604;"American Naturalist";journal;"00030147, 15375323";"University of Chicago";No;No;1,180;Q1;242;101;415;8210;1152;401;2,68;81,29;36,23;0;United States;Northern America;"University of Chicago";"1946-1948, 1960-1961, 1973-1975, 1978-1979, 1981-2026";"Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences"
3737;21100928679;"Arctic Science";journal;"23687460";"Canadian Science Publishing";Yes;No;1,180;Q1;23;90;162;7099;586;156;2,90;78,88;49,20;1;Canada;Northern America;"Canadian Science Publishing";"2019-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
3738;21101075633;"Current Research in Environmental Sustainability";journal;"26660490";"Elsevier B.V.";Yes;No;1,180;Q1;30;49;154;3885;960;149;5,89;79,29;45,59;4;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Environmental Science (miscellaneous) (Q1)";"Environmental Science"
3739;21101030144;"JMIR Serious Games";journal;"22919279";"JMIR Publications Inc.";Yes;No;1,180;Q1;54;137;299;7667;1863;297;5,17;55,96;48,68;0;Canada;Northern America;"JMIR Publications Inc.";"2013-2026";"Biomedical Engineering (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Psychiatry and Mental Health (Q1); Rehabilitation (Q1)";"Engineering; Health Professions; Medicine"
3740;18138;"Sociology of Health and Illness";journal;"01419889, 14679566";"Wiley-Blackwell Publishing Ltd";No;No;1,180;Q1;122;129;296;7918;1137;285;3,67;61,38;68,06;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1979-2026";"Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
3741;28275;"Clinics in Liver Disease";journal;"10893261, 15578224";"W.B. Saunders";No;No;1,180;Q2;101;55;193;3516;794;169;4,06;63,93;32,43;0;United States;Northern America;"W.B. Saunders";"1997-2026";"Hepatology (Q2)";"Medicine"
3742;21100216569;"Frontiers in Psychiatry";journal;"16640640";"Frontiers Media SA";Yes;No;1,179;Q1;154;2068;7683;115193;30739;7181;3,53;55,70;51,14;5;Switzerland;Western Europe;"Frontiers Media SA";"2010-2026";"Psychiatry and Mental Health (Q1)";"Medicine"
3743;15383;"Journal of Applied Behavioral Science";journal;"15526879, 00218863";"SAGE Publications Inc.";No;No;1,179;Q1;87;34;109;2687;479;103;4,28;79,03;48,15;0;United States;Northern America;"SAGE Publications Inc.";"1965-2026";"Applied Psychology (Q1)";"Psychology"
3744;19489;"Archives of Women's Mental Health";journal;"14341816, 14351102";"Springer";No;No;1,178;Q1;111;155;294;6725;1148;280;3,52;43,39;67,06;3;Austria;Western Europe;"Springer";"1998-2026";"Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1)";"Medicine"
3745;19400158558;"Biophysical Reviews";journal;"18672469, 18672450";"Springer Science and Business Media Deutschland GmbH";No;No;1,178;Q1;77;142;342;14647;1294;237;3,56;103,15;43,91;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2009-2026";"Biophysics (Q1); Molecular Biology (Q2); Structural Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
3746;14841;"Cephalalgia";journal;"14682982, 03331024";"SAGE Publications Ltd";No;No;1,178;Q1;153;193;445;7643;2126;402;5,14;39,60;45,34;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1981-2026";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)";"Medicine"
3747;31405;"Journal of Archaeological Science";journal;"03054403, 10959238";"Elsevier Inc.";No;No;1,178;Q1;168;224;333;18792;1134;326;3,18;83,89;42,32;1;United States;Northern America;"Elsevier Inc.";"1974-2026";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
3748;145502;"Journal of Youth Studies";journal;"14699680, 13676261";"Routledge";No;No;1,178;Q1;83;170;239;9475;1110;236;3,70;55,74;61,98;5;United Kingdom;Western Europe;"Routledge";"2003-2026";"Life-span and Life-course Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3749;3500148011;"Journal of Zhejiang University: Science B";journal;"16731581, 18621783";"Zhejiang University";No;No;1,178;Q1;86;87;266;6980;1292;197;4,68;80,23;46,04;0;China;Asiatic Region;"Zhejiang University";"2005-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics; Veterinary"
3750;13239;"Molecular Nutrition and Food Research";journal;"16134133, 16134125";"Wiley-VCH Verlag";No;No;1,178;Q1;179;334;734;22074;3862;728;4,80;66,09;51,69;0;Germany;Western Europe;"Wiley-VCH Verlag";"2004-2026";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
3751;27778;"Publications of the Astronomical Society of Japan";journal;"2053051X, 00046264";"Oxford University Press";No;No;1,178;Q2;117;109;317;7115;849;317;2,32;65,28;20,88;0;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)";"Earth and Planetary Sciences; Physics and Astronomy"
3752;21101039477;"City and Environment Interactions";journal;"25902520";"Elsevier B.V.";Yes;No;1,177;Q1;28;84;102;6639;673;101;5,98;79,04;35,69;0;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
3753;21100913479;"Frontiers in Nutrition";journal;"2296861X";"Frontiers Media SA";Yes;No;1,177;Q1;117;2542;7316;147489;44467;6863;5,21;58,02;49,85;11;Switzerland;Western Europe;"Frontiers Media SA";"2014-2026";"Food Science (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
3754;14277;"Health Psychology";journal;"19307810, 02786133";"American Psychological Association";No;No;1,177;Q1;201;93;299;4836;1112;295;2,82;52,00;60,94;2;United States;Northern America;"American Psychological Association";"1982, 1984-2026";"Applied Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
3755;19900191822;"Kinetic and Related Models";journal;"19375093, 19375077";"American Institute of Mathematical Sciences";No;No;1,177;Q1;38;33;104;1330;160;103;1,10;40,30;31,51;0;United States;Northern America;"American Institute of Mathematical Sciences";"2010-2026";"Modeling and Simulation (Q1); Numerical Analysis (Q1)";"Mathematics"
3756;18593;"Microbial Cell Factories";journal;"14752859";"BioMed Central Ltd";Yes;No;1,177;Q1;144;248;864;16081;5359;863;5,99;64,84;42,07;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2026";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
3757;29302;"Clinical and Experimental Medicine";journal;"15918890, 15919528";"Springer Science and Business Media Deutschland GmbH";No;No;1,176;Q1;64;364;756;24300;3429;733;4,49;66,76;45,93;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2001-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3758;25675;"Journal of Early Adolescence";journal;"15525449, 02724316";"SAGE Publications Inc.";No;No;1,176;Q1;89;74;133;5112;502;132;3,30;69,08;65,99;1;United States;Northern America;"SAGE Publications Inc.";"1981-2026";"Developmental and Educational Psychology (Q1); Life-span and Life-course Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
3759;21100823995;"Non-coding RNA Research";journal;"24680540";"KeAi Communications Co.";Yes;No;1,176;Q1;37;109;217;9929;1264;215;5,90;91,09;45,84;0;China;Asiatic Region;"KeAi Communications Co.";"2016-2026";"Biochemistry (Q1); Biochemistry (medical) (Q1); Genetics (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
3760;19046;"Theoretical and Applied Genetics";journal;"14322242, 00405752";"Springer Science and Business Media Deutschland GmbH";No;No;1,176;Q1;211;310;812;22145;3652;811;4,12;71,44;38,38;2;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1933, 1941, 1946, 1965, 1968-2026";"Agronomy and Crop Science (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1); Genetics (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
3761;26176;"Journal of Molecular Endocrinology";journal;"14796813, 09525041";"BioScientifica Ltd.";No;No;1,176;Q2;118;38;126;2286;516;124;3,03;60,16;45,32;0;United Kingdom;Western Europe;"BioScientifica Ltd.";"1988-2026";"Endocrinology (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology"
3762;18961;"European Journal of Industrial Relations";journal;"14617129, 09596801";"SAGE Publications Ltd";No;No;1,175;Q1;53;31;68;1858;259;66;2,95;59,94;47,14;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
